file,section,key
bin/OpenSimDefaults.ini,Startup,ConsolePrompt
bin/OpenSimDefaults.ini,Startup,ConsoleHistoryFileEnabled
bin/OpenSimDefaults.ini,Startup,LogFile
bin/OpenSimDefaults.ini,Startup,ConsoleHistoryFile
bin/OpenSimDefaults.ini,Startup,ConsoleHistoryFileLines
bin/OpenSimDefaults.ini,Startup,ConsoleHistoryTimeStamp
bin/OpenSimDefaults.ini,Startup,save_crashes
bin/OpenSimDefaults.ini,Startup,crash_dir
bin/OpenSimDefaults.ini,Startup,PIDFile
bin/OpenSimDefaults.ini,Startup,startup_console_commands_file
bin/OpenSimDefaults.ini,Startup,shutdown_console_commands_file
bin/OpenSimDefaults.ini,Startup,timer_Script
bin/OpenSimDefaults.ini,Startup,timer_Interval
bin/OpenSimDefaults.ini,Startup,async_call_method
bin/OpenSimDefaults.ini,Startup,MaxPoolThreads
bin/OpenSimDefaults.ini,Startup,JobEngineEnabled
bin/OpenSimDefaults.ini,Startup,RegistryLocation
bin/OpenSimDefaults.ini,Startup,ConfigDirectory
bin/OpenSimDefaults.ini,Startup,clientstack_plugin
bin/OpenSimDefaults.ini,Startup,region_info_source
bin/OpenSimDefaults.ini,Startup,regionload_regionsdir
bin/OpenSimDefaults.ini,Startup,regionload_webserver_url
bin/OpenSimDefaults.ini,Startup,allow_regionless
bin/OpenSimDefaults.ini,Startup,see_into_region
bin/OpenSimDefaults.ini,Startup,LegacySitOffsets
bin/OpenSimDefaults.ini,Startup,MaxPrimUndos
bin/OpenSimDefaults.ini,Startup,NonPhysicalPrimMin
bin/OpenSimDefaults.ini,Startup,NonPhysicalPrimMax
bin/OpenSimDefaults.ini,Startup,PhysicalPrimMin
bin/OpenSimDefaults.ini,Startup,PhysicalPrimMax
bin/OpenSimDefaults.ini,Startup,ClampPrimSize
bin/OpenSimDefaults.ini,Startup,LinksetPrims
bin/OpenSimDefaults.ini,Startup,AllowScriptCrossing
bin/OpenSimDefaults.ini,Startup,TrustBinaries
bin/OpenSimDefaults.ini,Startup,DefaultDrawDistance
bin/OpenSimDefaults.ini,Startup,MaxDrawDistance
bin/OpenSimDefaults.ini,Startup,MaxRegionsViewDistance
bin/OpenSimDefaults.ini,Startup,MinRegionsViewDistance
bin/OpenSimDefaults.ini,Startup,InworldRestartShutsDown
bin/OpenSimDefaults.ini,Startup,Normalized55FPS
bin/OpenSimDefaults.ini,Startup,FrameTime
bin/OpenSimDefaults.ini,Startup,FrameTimeWarnPercent
bin/OpenSimDefaults.ini,Startup,FrameTimeCritPercent
bin/OpenSimDefaults.ini,Startup,UpdateObjectsEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdateAgentsEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdateEntityMovementEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdateCoarseLocationsEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdatePhysicsEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdateEventsEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdateTerrainEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdateStorageEveryNFrames
bin/OpenSimDefaults.ini,Startup,UpdateTempCleaningEveryNSeconds
bin/OpenSimDefaults.ini,Startup,MinimumTimeBeforePersistenceConsidered
bin/OpenSimDefaults.ini,Startup,MaximumTimeBeforePersistenceConsidered
bin/OpenSimDefaults.ini,Startup,collidable_prim
bin/OpenSimDefaults.ini,Startup,physical_prim
bin/OpenSimDefaults.ini,Startup,meshing
bin/OpenSimDefaults.ini,Startup,DecodedSculptMapPath
bin/OpenSimDefaults.ini,Startup,CacheSculptMaps
bin/OpenSimDefaults.ini,Startup,physics
bin/OpenSimDefaults.ini,Startup,DefaultScriptEngine
bin/OpenSimDefaults.ini,Startup,HttpProxy
bin/OpenSimDefaults.ini,Startup,HttpProxyExceptions
bin/OpenSimDefaults.ini,Startup,emailmodule
bin/OpenSimDefaults.ini,Startup,enableflyslow
bin/OpenSimDefaults.ini,Startup,LogShowStatsSeconds
bin/OpenSimDefaults.ini,Startup,Stats_URI
bin/OpenSimDefaults.ini,Startup,ManagedStatsRemoteFetchURI
bin/OpenSimDefaults.ini,Startup,StartDisabled
bin/OpenSimDefaults.ini,Startup,UseCSJ2K
bin/OpenSimDefaults.ini,Startup,UseTrashOnDelete
bin/OpenSimDefaults.ini,Startup,LogOverloads
bin/OpenSimDefaults.ini,Startup,SpawnPointRouting
bin/OpenSimDefaults.ini,Startup,TelehubAllowLandmark
bin/OpenSimDefaults.ini,Startup,EnableCertConverter
bin/OpenSimDefaults.ini,Startup,PemCertPublicKey
bin/OpenSimDefaults.ini,Startup,PemCertPrivateKey
bin/OpenSimDefaults.ini,Startup,outputCertName
bin/OpenSimDefaults.ini,Startup,outputCertPassword
bin/OpenSimDefaults.ini,Startup,EnableSelfsignedCertSupport
bin/OpenSimDefaults.ini,Startup,CertRenewOnStartup
bin/OpenSimDefaults.ini,Startup,CertFileName
bin/OpenSimDefaults.ini,Startup,CertPassword
bin/OpenSimDefaults.ini,Startup,CertHostName
bin/OpenSimDefaults.ini,Startup,CertHostIp
bin/OpenSimDefaults.ini,Startup,NoVerifyCertChain
bin/OpenSimDefaults.ini,Startup,NoVerifyCertHostname
bin/OpenSimDefaults.ini,Map,GenerateMaptiles
bin/OpenSimDefaults.ini,Map,WorldMapModule
bin/OpenSimDefaults.ini,Map,MapImageModule
bin/OpenSimDefaults.ini,Map,BlacklistTimeout
bin/OpenSimDefaults.ini,Map,MaptileRefresh
bin/OpenSimDefaults.ini,Map,MaptileStaticUUID
bin/OpenSimDefaults.ini,Map,DrawPrimOnMapTile
bin/OpenSimDefaults.ini,Map,TextureOnMapTile
bin/OpenSimDefaults.ini,Map,TexturePrims
bin/OpenSimDefaults.ini,Map,TexturePrimSize
bin/OpenSimDefaults.ini,Map,RenderMeshes
bin/OpenSimDefaults.ini,Map,RenderMaxHeight
bin/OpenSimDefaults.ini,Map,RenderMinHeight
bin/OpenSimDefaults.ini,Map,ShowNPCs
bin/OpenSimDefaults.ini,Permissions,permissionmodules
bin/OpenSimDefaults.ini,Permissions,serverside_object_permissions
bin/OpenSimDefaults.ini,Permissions,allow_grid_gods
bin/OpenSimDefaults.ini,Permissions,region_owner_is_god
bin/OpenSimDefaults.ini,Permissions,region_manager_is_god
bin/OpenSimDefaults.ini,Permissions,automatic_gods
bin/OpenSimDefaults.ini,Permissions,implicit_gods
bin/OpenSimDefaults.ini,Permissions,allowed_script_creators
bin/OpenSimDefaults.ini,Permissions,allowed_script_editors
bin/OpenSimDefaults.ini,Permissions,simple_build_permissions
bin/OpenSimDefaults.ini,Permissions,LevelUpload
bin/OpenSimDefaults.ini,RegionReady,enabled
bin/OpenSimDefaults.ini,RegionReady,channel_notify
