Module,File,Line,Hard-coded value,Expected config section/key
OpenSim.Services.LLLoginService,OpenSim/Services/LLLoginService/LLLoginService.cs,122,false,
OpenSim.Services.LLLoginService,OpenSim/Services/LLLoginService/LLLoginService.cs,123,0,
OpenSim.Services.LLLoginService,OpenSim/Services/LLLoginService/LLLoginService.cs,185,"""Welcome to OpenSim!""",
OpenSim.Services.LLLoginService,OpenSim/Services/LLLoginService/LLLoginService.cs,189,"""America/Los_Angeles;Pacific Standard Time""",
OpenSim.Services.LLLoginService,OpenSim/Services/LLLoginService/LLLoginService.cs,1161,0,
OpenSim.Services.UserAccountService,OpenSim/Services/UserAccountService/UserAccountService.cs,87,false,UserAccountService:CreateDefaultAvatarEntries
OpenSim.Services.Connectors,OpenSim/Services/Connectors/Asset/HGAssetServiceConnector.cs,48,"""""",Modules:AssetServices
OpenSim.Services.Connectors,OpenSim/Services/Connectors/Authorization/AuthorizationServicesConnector.cs,84,true,AuthorizationService:ResponseOnFailure
OpenSim.Services.Connectors,OpenSim/Services/Connectors/Inventory/XInventoryServicesConnector.cs,113,-1,
OpenSim.Server.Base,OpenSim/Server/Base/HttpServerBase.cs,63,0,Network:port
OpenSim.Server.Base,OpenSim/Server/Base/HttpServerBase.cs,71,false,Network:https_main
OpenSim.Server.Base,OpenSim/Server/Base/HttpServerBase.cs,72,false,Network:https_listener
OpenSim.Server.Base,OpenSim/Server/Base/HttpServerBase.cs,73,false,Network:https_external
OpenSim.Server.Base,OpenSim/Server/Base/HttpServerBase.cs,75,0,Network:ConsolePort
OpenSim.Server.Base,OpenSim/Server/Base/HttpServerBase.cs,117,0,Network:https_port
OpenSim.Server.Base,OpenSim/Server/Base/ServicesServerBase.cs,137,false,Startup:EnableRobustSelfsignedCertSupport
OpenSim.Server.Handlers.Asset,OpenSim/Server/Handlers/Asset/AssetServerConnector.cs,68,false,
OpenSim.Server.Handlers.Asset,OpenSim/Server/Handlers/Asset/AssetServerConnector.cs,69,false,
OpenSim.Server.Handlers.Grid,OpenSim/Server/Handlers/Grid/GridInfoHandlers.cs,81,false,GridInfoService:DisableStatsEndpoint
OpenSim.Server.Handlers.Grid,OpenSim/Server/Handlers/Grid/GridInfoServerInConnector.cs,51,false,GridInfoService:DisableStatsEndpoint
OpenSim.Server.Handlers.Hypergrid,OpenSim/Server/Handlers/Hypergrid/GatekeeperServerConnector.cs,70,false,GatekeeperService:HasProxy
OpenSim.Server.Handlers.Hypergrid,OpenSim/Server/Handlers/Hypergrid/UserAgentServerConnector.cs,88,"""127.0.0.1""",UserAgentService:LoginServerIP
OpenSim.Server.Handlers.Hypergrid,OpenSim/Server/Handlers/Hypergrid/UserAgentServerConnector.cs,89,false,UserAgentService:HasProxy
OpenSim.Server.Handlers.Hypergrid,OpenSim/Server/Handlers/Hypergrid/UserAgentServerConnector.cs,91,false,UserAgentService:VerifyCallers
OpenSim.Server.Handlers.Hypergrid,OpenSim/Server/Handlers/Hypergrid/UserAgentServerConnector.cs,92,"""127.0.0.1""",UserAgentService:AuthorizedCallers
