Section,Key,Present in OpenSimDefaults.ini,Present in OpenSim.ini,Present in OpenSim.ini.template,Notes
Startup,UseTrashOnDelete,yes,yes,yes,
Startup,LogOverloads,yes,yes,yes,
Startup,SpawnPointRouting,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Startup,TelehubAllowLandmark,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=false; OpenSim.ini=true"
Startup,EnableCertConverter,yes,yes,yes,
Startup,PemCertPublicKey,yes,yes,yes,
Startup,PemCertPrivateKey,yes,yes,yes,
Startup,outputCertName,yes,yes,yes,
Startup,outputCertPassword,yes,yes,yes,
Startup,EnableSelfsignedCertSupport,yes,yes,yes,
Startup,CertRenewOnStartup,yes,yes,yes,
Startup,CertFileName,yes,yes,yes,
Startup,CertPassword,yes,yes,yes,
Startup,CertHostName,yes,yes,yes,
Startup,CertHostIp,yes,yes,yes,
Startup,NoVerifyCertChain,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Startup,NoVerifyCertHostname,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Startup,economymodule,no,yes,no,missing from template
Startup,repeating_console_commands_file,no,no,yes,present but commented: OpenSim.ini.template
Map,GenerateMaptiles,yes,yes,yes,present but commented: OpenSimDefaults.ini
Map,WorldMapModule,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Map,MapImageModule,yes,yes,yes,"present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=""MapImageModule""; OpenSim.ini+OpenSim.ini.template=""Warp3DImageModule"""
Map,BlacklistTimeout,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Map,MaptileRefresh,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=0; OpenSim.ini+OpenSim.ini.template=3600
Map,MaptileStaticUUID,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Map,DrawPrimOnMapTile,yes,yes,yes,
Map,TextureOnMapTile,yes,yes,yes,
Map,TexturePrims,yes,yes,yes,
Map,TexturePrimSize,yes,yes,yes,
Map,RenderMeshes,yes,yes,yes,conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=false; OpenSim.ini=true
Map,RenderMaxHeight,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=4086; OpenSim.ini+OpenSim.ini.template=200
Map,RenderMinHeight,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=-100; OpenSim.ini+OpenSim.ini.template=1
Map,ShowNPCs,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Map,MapColorWater,no,yes,no,missing from template
Map,MaptileDirectory,no,yes,no,missing from template
Map,MaptileMaxObjectHeight,no,yes,no,missing from template
Map,MaptileMinObjectHeight,no,yes,no,missing from template
Map,TilesStoragePath,no,yes,no,missing from template
Permissions,permissionmodules,yes,yes,yes,"present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=""DefaultPermissionsModule""; OpenSim.ini=DefaultPermissionsModule"
Permissions,serverside_object_permissions,yes,yes,yes,
Permissions,allow_grid_gods,yes,yes,yes,
Permissions,region_owner_is_god,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=true; OpenSim.ini+OpenSim.ini.template=false
Permissions,region_manager_is_god,yes,yes,yes,present but commented: OpenSimDefaults.ini
Permissions,automatic_gods,yes,yes,yes,
Permissions,implicit_gods,yes,yes,yes,
Permissions,allowed_script_creators,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Permissions,allowed_script_editors,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Permissions,simple_build_permissions,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=False; OpenSim.ini+OpenSim.ini.template=false
Permissions,LevelUpload,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
RegionReady,enabled,yes,yes,yes,
RegionReady,channel_notify,yes,yes,yes,
RegionReady,login_disable,yes,yes,yes,conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=true; OpenSim.ini=false
RegionReady,alert_uri,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
EstateManagement,AllowRegionRestartFromClient,yes,yes,yes,
EstateManagement,IgnoreEstateMinorAccessControl,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini=true;; OpenSim.ini.template=true"
EstateManagement,IgnoreEstatePaymentAccessControl,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
UserProfiles,ProfileURL,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
UserProfiles,AllowUserProfileWebURLs,yes,yes,yes,present but commented: OpenSimDefaults.ini
UserProfiles,ProfileServiceURL,no,yes,no,missing from template
SMTP,enabled,yes,yes,yes,
SMTP,internal_object_host,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,host_domain_header_from,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_FROM,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_HOSTNAME,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_PORT,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_TLS,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_LOGIN,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_SERVER_PASSWORD,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_VerifyCertChain,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,SMTP_VerifyCertNames,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
SMTP,enableflyslow,no,no,yes,
SMTP,Stats_URI,no,no,yes,
SMTP,StartDisabled,no,no,yes,
SMTP,UseCSJ2K,no,no,yes,
SMTP,UseTrashOnDelete,no,no,yes,
SMTP,LogOverloads,no,no,yes,
SMTP,SpawnPointRouting,no,no,yes,
SMTP,EnableCertConverter,no,no,yes,
SMTP,PemCertPublicKey,no,no,yes,
SMTP,PemCertPrivateKey,no,no,yes,
SMTP,outputCertName,no,no,yes,
SMTP,outputCertPassword,no,no,yes,
SMTP,EnableSelfsignedCertSupport,no,no,yes,
SMTP,CertRenewOnStartup,no,no,yes,
SMTP,CertFileName,no,no,yes,
SMTP,CertPassword,no,no,yes,
SMTP,CertHostName,no,no,yes,
SMTP,CertHostIp,no,no,yes,
Network,ConsoleUser,yes,yes,yes,
Network,ConsolePass,yes,yes,yes,
Network,http_listener_port,yes,yes,yes,
Network,console_port,yes,yes,yes,
Network,http_listener_ssl,yes,yes,yes,
Network,http_listener_sslport,yes,yes,yes,
Network,http_listener_cn,yes,yes,yes,
Network,http_listener_cert_path,yes,yes,yes,
Network,http_listener_cert_pass,yes,yes,yes,
Network,https_listener,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,https_port,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,cert_path,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,cert_pass,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,HttpBodyMaxLenMAX,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,ExternalHostNameForLSL,yes,yes,yes,present but commented: OpenSimDefaults.ini | conflicting default values: OpenSimDefaults.ini=127.0.0.1; OpenSim.ini+OpenSim.ini.template=${Const|BaseHostname}
Network,OutboundDisallowForUserScripts,yes,yes,yes,conflicting default values: OpenSimDefaults.ini+OpenSim.ini=0.0.0.0/8|10.0.0.0/8|100.64.0.0/10|127.0.0.0/8|169.254.0.0/16|172.16.0.0/12|192.0.0.0/24|192.0.2.0/24|192.88.99.0/24|192.168.0.0/16|198.18.0.0/15|198.51.100.0/24|203.0.113.0/24|224.0.0.0/4|240.0.0.0/4|255.255.255.255/32; OpenSim.ini.template=
Network,shard,yes,yes,yes,"conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=""OpenSim""; OpenSim.ini=""MoonlightEstates"""
Network,user_agent,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Network,MaxRequestConcurrency,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ScriptsHttpRequestModule,MaxPoolThreads,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ScriptsHttpRequestModule,PrimRequestsPerSec,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ScriptsHttpRequestModule,PrimRequestsBurst,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ScriptsHttpRequestModule,PrimOwnerRequestsPerSec,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ScriptsHttpRequestModule,PrimOwnerRequestsBurst,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ScriptsHttpRequestModule,RequestsTimeOut,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
AccessControl,AllowedClients,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
AccessControl,DeniedClients,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,scene_throttle_max_bps,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,client_throttle_max_bps,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,adaptive_throttle_min_bps,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,enable_adaptive_throttles,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,TextureSendLimit,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,DisableFacelights,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=false; OpenSim.ini=""true"""
ClientStack.LindenUDP,AckTimeout,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,PausedAckTimeout,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenUDP,SupportViewerObjectsCache,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ClientStack.LindenCaps,Cap_AttachmentResources,yes,yes,yes,
ClientStack.LindenCaps,Cap_ChatSessionRequest,yes,yes,yes,
ClientStack.LindenCaps,Cap_CopyInventoryFromNotecard,yes,yes,yes,
ClientStack.LindenCaps,Cap_DispatchRegionInfo,yes,yes,yes,
ClientStack.LindenCaps,Cap_EstateAccess,yes,yes,yes,
ClientStack.LindenCaps,Cap_EstateChangeInfo,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini=""localhost""  broken on viewers; OpenSim.ini.template=""localhost"""
ClientStack.LindenCaps,Cap_EnvironmentSettings,yes,yes,yes,"conflicting default values: OpenSimDefaults.ini+OpenSim.ini=""localhost"" ; this also controls ExtEnvironment cap; OpenSim.ini.template=""localhost"""
ClientStack.LindenCaps,Cap_EventQueueGet,yes,yes,yes,
ClientStack.LindenCaps,Cap_FetchInventory,yes,yes,yes,
ClientStack.LindenCaps,Cap_ObjectMedia,yes,yes,yes,
ClientStack.LindenCaps,Cap_ObjectMediaNavigate,yes,yes,yes,
ClientStack.LindenCaps,Cap_FetchLib,yes,yes,yes,
ClientStack.LindenCaps,Cap_FetchLibDescendents,yes,yes,yes,
ClientStack.LindenCaps,Cap_GetDisplayNames,yes,yes,yes,
ClientStack.LindenCaps,Cap_GetTexture,yes,yes,yes,
ClientStack.LindenCaps,Cap_GetMesh,yes,yes,yes,
ClientStack.LindenCaps,Cap_GetMesh2,yes,yes,yes,
ClientStack.LindenCaps,Cap_GetAsset,yes,yes,yes,
ClientStack.LindenCaps,Cap_GetObjectCost,yes,yes,yes,
ClientStack.LindenCaps,Cap_GetObjectPhysicsData,yes,yes,yes,
ClientStack.LindenCaps,Cap_GroupProposalBallot,yes,yes,yes,
ClientStack.LindenCaps,Cap_GroupMemberData,yes,yes,yes,
ClientStack.LindenCaps,Cap_HomeLocation,yes,yes,yes,
ClientStack.LindenCaps,Cap_LandResources,yes,yes,yes,
ClientStack.LindenCaps,Cap_MapLayer,yes,yes,yes,
ClientStack.LindenCaps,Cap_MapLayerGod,yes,yes,yes,
ClientStack.LindenCaps,Cap_NewFileAgentInventory,yes,yes,yes,
ClientStack.LindenCaps,Cap_NewFileAgentInventoryVariablePrice,yes,yes,yes,
ClientStack.LindenCaps,Cap_ObjectAdd,yes,yes,yes,
ClientStack.LindenCaps,Cap_ParcelPropertiesUpdate,yes,yes,yes,
ClientStack.LindenCaps,Cap_ParcelMediaURLFilterList,yes,yes,yes,
ClientStack.LindenCaps,Cap_ParcelNavigateMedia,yes,yes,yes,
ClientStack.LindenCaps,Cap_ParcelVoiceInfoRequest,yes,yes,yes,
ClientStack.LindenCaps,Cap_ProductInfoRequest,yes,yes,yes,
ClientStack.LindenCaps,Cap_ProvisionVoiceAccountRequest,yes,yes,yes,
ClientStack.LindenCaps,Cap_RemoteParcelRequest,yes,yes,yes,
ClientStack.LindenCaps,Cap_RequestTextureDownload,yes,yes,yes,
ClientStack.LindenCaps,Cap_SearchStatRequest,yes,yes,yes,
ClientStack.LindenCaps,Cap_SearchStatTracking,yes,yes,yes,
ClientStack.LindenCaps,Cap_SendPostcard,yes,yes,yes,
ClientStack.LindenCaps,Cap_SendUserReport,yes,yes,yes,
ClientStack.LindenCaps,Cap_SendUserReportWithScreenshot,yes,yes,yes,
ClientStack.LindenCaps,Cap_ServerReleaseNotes,yes,yes,yes,
ClientStack.LindenCaps,Cap_SimConsole,yes,yes,yes,
ClientStack.LindenCaps,Cap_SimulatorFeatures,yes,yes,yes,
ClientStack.LindenCaps,Cap_SetDisplayName,yes,yes,yes,
ClientStack.LindenCaps,Cap_StartGroupProposal,yes,yes,yes,
ClientStack.LindenCaps,Cap_TextureStats,yes,yes,yes,
ClientStack.LindenCaps,Cap_UntrustedSimulatorMessage,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateAgentInformation,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateAgentLanguage,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateGestureAgentInventory,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateNotecardAgentInventory,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateScriptAgent,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateGestureTaskInventory,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateNotecardTaskInventory,yes,yes,yes,
ClientStack.LindenCaps,Cap_UpdateScriptTask,yes,yes,yes,
ClientStack.LindenCaps,Cap_UploadBakedTexture,yes,yes,yes,
ClientStack.LindenCaps,Cap_UploadObjectAsset,yes,yes,yes,
ClientStack.LindenCaps,Cap_ViewerStartAuction,yes,yes,yes,
ClientStack.LindenCaps,Cap_ViewerStats,yes,yes,yes,
ClientStack.LindenCaps,Cap_WebFetchInventoryDescendents,yes,yes,yes,
ClientStack.LindenCaps,Cap_FetchInventoryDescendents2,yes,yes,yes,
ClientStack.LindenCaps,Cap_FetchInventory2,yes,yes,yes,
ClientStack.LindenCaps,Cap_FetchLib2,yes,yes,yes,
ClientStack.LindenCaps,Cap_FetchLibDescendents2,yes,yes,yes,
ClientStack.LindenCaps,Cap_AvatarPickerSearch,yes,yes,yes,
Chat,enabled,yes,yes,yes,
Chat,whisper_distance,yes,yes,yes,conflicting default values: OpenSimDefaults.ini=10; OpenSim.ini+OpenSim.ini.template=3
Chat,say_distance,yes,yes,yes,conflicting default values: OpenSimDefaults.ini=20; OpenSim.ini+OpenSim.ini.template=30
Chat,shout_distance,yes,yes,yes,conflicting default values: OpenSimDefaults.ini=100; OpenSim.ini+OpenSim.ini.template=50
EntityTransfer,AllowAvatarCrossing,yes,yes,yes,
EntityTransfer,DisableObjectTransfer,yes,yes,yes,
EntityTransfer,LevelHGTeleport,yes,yes,yes,
EntityTransfer,DisableInterRegionTeleportCancellation,yes,yes,yes,
EntityTransfer,LandingPointBehavior,yes,yes,yes,conflicting default values: OpenSimDefaults.ini=LandingPointBehavior_OS; OpenSim.ini+OpenSim.ini.template=LandingPointBehavior_SL
Messaging,InstantMessageModule,yes,yes,yes,
Messaging,MessageTransferModule,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Messaging,OfflineMessageModule,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=OfflineMessageModule; OpenSim.ini=""Offline Message Module V2"""
Messaging,OfflineMessageURL,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template | conflicting default values: OpenSimDefaults.ini+OpenSim.ini.template=http://yourserver/Offline.php; OpenSim.ini=${Const|PrivURL}:${Const|PrivatePort}"
Messaging,MuteListModule,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Messaging,MuteListURL,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Messaging,ForwardOfflineGroupMessages,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini.template"
Messaging,StorageProvider,no,yes,no,missing from template
Inventory,CoalesceMultipleObjectsToInventory,yes,yes,yes,conflicting default values: OpenSimDefaults.ini+OpenSim.ini=true; OpenSim.ini.template=false
