Key                         | Reader locations                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Defaults used                                                               | Risk description                                        
RegistryLocation            | OpenSim/Server/ServerMain.cs:126 (section=Startup, default="."); OpenSim/Region/Application/OpenSimBase.cs:180 (section=Startup, default=String.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | "."; String.Empty                                                           | different fallback defaults                             
inimaster                   | OpenSim/Tools/Configger/ConfigurationLoader.cs:73 (section=UNKNOWN, default="OpenSim.ini"); OpenSim/Region/Application/ConfigurationLoader.cs:85 (section=Startup, default="OpenSim.ini.template")                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | "OpenSim.ini"; "OpenSim.ini.template"                                       | read from multiple sections; different fallback defaults
inifile                     | OpenSim/Tools/Configger/ConfigurationLoader.cs:103 (section=UNKNOWN, default=Path.Combine(".", "OpenSim.ini"); OpenSim/Server/Base/ServicesServerBase.cs:91 (section=Startup, default=iniFile); OpenSim/Region/Application/ConfigurationLoader.cs:118 (section=Startup, default="OpenSim.ini")                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | "OpenSim.ini"; Path.Combine(".", "OpenSim.ini"; iniFile                     | read from multiple sections; different fallback defaults
password                    | OpenSim/Tools/pCampBot/BotManager.cs:291 (section=UNKNOWN, default=none); OpenSim/Region/OptionalModules/Avatar/Chat/ChannelState.cs:165 (section=UNKNOWN, default=null); OpenSim/Region/OptionalModules/Avatar/Concierge/ConciergeModule.cs:119 (section=Concierge, default=m_xmlRpcPassword)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | ; m_xmlRpcPassword; null                                                    | read from multiple sections; different fallback defaults
URL                         | OpenSim/Tools/LaunchSLClient/LaunchSLClient/Form1.cs:111 (section=UNKNOWN, default=""); OpenSim/Region/CoreModules/Avatar/BakedTextures/XBakesModule.cs:66 (section=XBakes, default=String.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | ""; String.Empty                                                            | read from multiple sections; different fallback defaults
StorageProvider             | OpenSim/Services/AssetService/AssetServiceBase.cs:63 (section=UNKNOWN, default=dllName); OpenSim/Services/AssetService/AssetServiceBase.cs:74 (section=DatabaseService, default=String.Empty); OpenSim/Services/AssetService/XAssetServiceBase.cs:61 (section=UNKNOWN, default=dllName); OpenSim/Services/AssetService/XAssetServiceBase.cs:72 (section=DatabaseService, default=String.Empty); OpenSim/Services/AuthenticationService/AuthenticationServiceBase.cs:73 (section=AuthenticationService, default=dllName); OpenSim/Services/AuthenticationService/AuthenticationServiceBase.cs:85 (section=DatabaseService, default=String.Empty); OpenSim/Services/AuthorizationService/AuthorizationServiceBase.cs:53 (section=AuthorizationService, default=dllName); OpenSim/Services/AuthorizationService/AuthorizationServiceBase.cs:64 (section=DatabaseService, default=String.Empty); OpenSim/Services/AvatarService/AvatarServiceBase.cs:56 (section=DatabaseService, default=String.Empty); OpenSim/Services/AvatarService/AvatarServiceBase.cs:67 (section=AvatarService, default=dllName); OpenSim/Services/EstateService/EstateDataService.cs:59 (section=DatabaseService, default=String.Empty); OpenSim/Services/EstateService/EstateDataService.cs:68 (section=EstateDataStore, default=dllName); OpenSim/Services/Friends/FriendsServiceBase.cs:54 (section=FriendsService, default=dllName); OpenSim/Services/Friends/FriendsServiceBase.cs:65 (section=DatabaseService, default=String.Empty); OpenSim/Services/FSAssetService/FSAssetService.cs:126 (section=UNKNOWN, default=string.Empty); OpenSim/Services/FSAssetService/FSAssetService.cs:138 (section=DatabaseService, default=String.Empty); OpenSim/Services/GridService/GridServiceBase.cs:56 (section=DatabaseService, default=String.Empty); OpenSim/Services/GridService/GridServiceBase.cs:67 (section=GridService, default=dllName); OpenSim/Services/HypergridService/UserAgentServiceBase.cs:53 (section=DatabaseService, default=string.Empty); OpenSim/Services/HypergridService/UserAgentServiceBase.cs:64 (section=UserAgentService, default=dllName); OpenSim/Services/InventoryService/XInventoryService.cs:69 (section=UNKNOWN, default=dllName); OpenSim/Services/InventoryService/XInventoryService.cs:82 (section=DatabaseService, default=string.Empty); OpenSim/Services/MuteListService/MuteListService.cs:58 (section=DatabaseService, default=String.Empty); OpenSim/Services/MuteListService/MuteListService.cs:67 (section=MuteListStore, default=dllName); OpenSim/Services/PresenceService/PresenceServiceBase.cs:56 (section=DatabaseService, default=String.Empty); OpenSim/Services/PresenceService/PresenceServiceBase.cs:67 (section=PresenceService, default=dllName); OpenSim/Services/SimulationService/SimulationDataService.cs:61 (section=DatabaseService, default=String.Empty); OpenSim/Services/SimulationService/SimulationDataService.cs:69 (section=SimulationDataStore, default=dllName); OpenSim/Services/UserAccountService/AgentPreferencesServiceBase.cs:50 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserAccountService/AgentPreferencesServiceBase.cs:58 (section=AgentPreferencesService, default=dllName); OpenSim/Services/UserAccountService/GridUserServiceBase.cs:55 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserAccountService/GridUserServiceBase.cs:66 (section=GridUserService, default=dllName); OpenSim/Services/UserAccountService/UserAccountServiceBase.cs:50 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserAccountService/UserAccountServiceBase.cs:58 (section=UserAccountService, default=dllName); OpenSim/Services/UserProfilesService/UserProfilesServiceBase.cs:67 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserProfilesService/UserProfilesServiceBase.cs:75 (section=DatabaseService, default=dllName); OpenSim/Server/Handlers/Grid/GridInfoHandlers.cs:91 (section=DatabaseService, default=String.Empty); OpenSim/Addons/OfflineIM/Service/OfflineIMService.cs:66 (section=DatabaseService, default=string.Empty); OpenSim/Addons/OfflineIM/Service/OfflineIMService.cs:77 (section=Messaging, default=dllName); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:59 (section=DatabaseService, default=String.Empty); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:70 (section=DatabaseService, default=dllName); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:91 (section=GridUserService, default=dllName)                                                             | String.Empty; dllName; string.Empty                                         | read from multiple sections; different fallback defaults
ConnectionString            | OpenSim/Services/AssetService/AssetServiceBase.cs:64 (section=UNKNOWN, default=connString); OpenSim/Services/AssetService/AssetServiceBase.cs:76 (section=DatabaseService, default=String.Empty); OpenSim/Services/AssetService/XAssetServiceBase.cs:62 (section=UNKNOWN, default=connString); OpenSim/Services/AssetService/XAssetServiceBase.cs:74 (section=DatabaseService, default=String.Empty); OpenSim/Services/AuthenticationService/AuthenticationServiceBase.cs:74 (section=AuthenticationService, default=connString); OpenSim/Services/AuthenticationService/AuthenticationServiceBase.cs:87 (section=DatabaseService, default=String.Empty); OpenSim/Services/AuthorizationService/AuthorizationServiceBase.cs:54 (section=AuthorizationService, default=connString); OpenSim/Services/AuthorizationService/AuthorizationServiceBase.cs:66 (section=DatabaseService, default=String.Empty); OpenSim/Services/AvatarService/AvatarServiceBase.cs:58 (section=DatabaseService, default=String.Empty); OpenSim/Services/AvatarService/AvatarServiceBase.cs:68 (section=AvatarService, default=connString); OpenSim/Services/EstateService/EstateDataService.cs:60 (section=DatabaseService, default=String.Empty); OpenSim/Services/EstateService/EstateDataService.cs:69 (section=EstateDataStore, default=connString); OpenSim/Services/Friends/FriendsServiceBase.cs:55 (section=FriendsService, default=connString); OpenSim/Services/Friends/FriendsServiceBase.cs:67 (section=DatabaseService, default=String.Empty); OpenSim/Services/FSAssetService/FSAssetService.cs:127 (section=UNKNOWN, default=string.Empty); OpenSim/Services/FSAssetService/FSAssetService.cs:141 (section=DatabaseService, default=String.Empty); OpenSim/Services/GridService/GridServiceBase.cs:58 (section=DatabaseService, default=String.Empty); OpenSim/Services/GridService/GridServiceBase.cs:68 (section=GridService, default=connString); OpenSim/Services/HypergridService/UserAgentServiceBase.cs:55 (section=DatabaseService, default=string.Empty); OpenSim/Services/HypergridService/UserAgentServiceBase.cs:65 (section=UserAgentService, default=connString); OpenSim/Services/InventoryService/XInventoryService.cs:70 (section=UNKNOWN, default=connString); OpenSim/Services/InventoryService/XInventoryService.cs:84 (section=DatabaseService, default=string.Empty); OpenSim/Services/MuteListService/MuteListService.cs:59 (section=DatabaseService, default=String.Empty); OpenSim/Services/MuteListService/MuteListService.cs:68 (section=MuteListStore, default=connString); OpenSim/Services/PresenceService/PresenceServiceBase.cs:58 (section=DatabaseService, default=String.Empty); OpenSim/Services/PresenceService/PresenceServiceBase.cs:68 (section=PresenceService, default=connString); OpenSim/Services/SimulationService/SimulationDataService.cs:62 (section=DatabaseService, default=String.Empty); OpenSim/Services/SimulationService/SimulationDataService.cs:70 (section=SimulationDataStore, default=connString); OpenSim/Services/UserAccountService/AgentPreferencesServiceBase.cs:51 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserAccountService/AgentPreferencesServiceBase.cs:63 (section=AgentPreferencesService, default=connString); OpenSim/Services/UserAccountService/GridUserServiceBase.cs:57 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserAccountService/GridUserServiceBase.cs:67 (section=GridUserService, default=connString); OpenSim/Services/UserAccountService/UserAccountServiceBase.cs:51 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserAccountService/UserAccountServiceBase.cs:63 (section=UserAccountService, default=connString); OpenSim/Services/UserProfilesService/UserProfilesServiceBase.cs:69 (section=DatabaseService, default=String.Empty); OpenSim/Services/UserProfilesService/UserProfilesServiceBase.cs:76 (section=DatabaseService, default=connString); OpenSim/Server/Handlers/Grid/GridInfoHandlers.cs:92 (section=DatabaseService, default=String.Empty); OpenSim/Addons/OfflineIM/Service/OfflineIMService.cs:68 (section=DatabaseService, default=string.Empty); OpenSim/Addons/OfflineIM/Service/OfflineIMService.cs:78 (section=Messaging, default=connString); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:61 (section=DatabaseService, default=String.Empty); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:71 (section=DatabaseService, default=connString); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:92 (section=GridUserService, default=connString) | String.Empty; connString; string.Empty                                      | read from multiple sections; different fallback defaults
AssetLoaderArgs             | OpenSim/Services/AssetService/XAssetService.cs:65 (section=UNKNOWN, default=String.Empty); OpenSim/Services/FSAssetService/FSAssetService.cs:202 (section=DatabaseService, default=string.Empty); OpenSim/Region/CoreModules/Asset/FlotsamAssetCache.cs:211 (section=AssetService, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | String.Empty; string.Empty                                                  | read from multiple sections; different fallback defaults
Realm                       | OpenSim/Services/AuthenticationService/AuthenticationServiceBase.cs:75 (section=AuthenticationService, default=realm); OpenSim/Services/AvatarService/AvatarServiceBase.cs:69 (section=AvatarService, default=realm); OpenSim/Services/FreeswitchService/FreeswitchServiceBase.cs:71 (section=FreeswitchService, default=m_freeSwitchDefaultWellKnownIP); OpenSim/Services/Friends/FriendsServiceBase.cs:78 (section=DatabaseService, default=realm); OpenSim/Services/FSAssetService/FSAssetService.cs:128 (section=UNKNOWN, default="fsassets"); OpenSim/Services/GridService/GridServiceBase.cs:69 (section=GridService, default=realm); OpenSim/Services/HypergridService/HGInventoryService.cs:74 (section=UNKNOWN, default=realm); OpenSim/Services/HypergridService/UserAgentServiceBase.cs:66 (section=UserAgentService, default=realm); OpenSim/Services/InventoryService/XInventoryService.cs:72 (section=UNKNOWN, default=realm); OpenSim/Services/PresenceService/PresenceServiceBase.cs:69 (section=PresenceService, default=realm); OpenSim/Services/UserAccountService/AgentPreferencesServiceBase.cs:65 (section=AgentPreferencesService, default=realm); OpenSim/Services/UserAccountService/GridUserServiceBase.cs:68 (section=GridUserService, default=realm); OpenSim/Services/UserAccountService/UserAccountServiceBase.cs:65 (section=UserAccountService, default=realm); OpenSim/Services/UserProfilesService/UserProfilesServiceBase.cs:77 (section=DatabaseService, default=realm); OpenSim/Addons/OfflineIM/Service/OfflineIMService.cs:79 (section=Messaging, default=realm); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:72 (section=DatabaseService, default=realm); OpenSim/Addons/Groups/Service/GroupsServiceBase.cs:93 (section=GridUserService, default=usersRealm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | "fsassets"; m_freeSwitchDefaultWellKnownIP; realm; usersRealm               | read from multiple sections; different fallback defaults
BaseDirectory               | OpenSim/Services/FSAssetService/FSAssetService.cs:184 (section=DatabaseService, default=String.Empty); OpenSim/Server/Handlers/BakedTextures/XBakes.cs:60 (section=BakedTextureService, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | String.Empty; string.Empty                                                  | read from multiple sections; different fallback defaults
